,neighbourhood,dist
5810,central,0.014585065756450532
2429,farnorth,0.12994640651867828
1573,west,0.022868815253964163
6163,north,0.07997706595717483
2375,farsouth,0.1633695878403386
5413,central,0.01839627329433328
4399,southwest,0.12480478859050032
1916,west,0.05194261586711731
711,northwest,0.11045448234959687
3984,central,0.0061090653229364045
2796,farnorth,0.23132943160592137
5139,northwest,0.133498163357845
5236,west,0.042490490031526454
495,west,0.051551209482607024
600,central,0.01365219744656951
3042,central,0.0018670444879575413
1277,west,0.053027414561894005
5083,farsouth,0.1692792713805246
3253,south,0.12131305499047222
840,south,0.07476810538672428
5594,northwest,0.1743030584674784
1272,farnorth,0.14341942872261043
4013,southwest,0.10591938530373356
2839,west,0.0810939307662338
1938,north,0.06578455891102954
906,south,0.08516496758128295
4528,west,0.023801991830927034
91,north,0.06903574824045781
4210,central,0.01629768864348516
2025,central,0.019540660355266363
1697,west,0.03585344902683787
6081,farnorth,0.09486764539672904
5630,west,0.06613009940351837
563,north,0.07082316088201328
5150,farnorth,0.12050840654128127
1620,north,0.03262607789973318
4088,central,0.010281714211166177
5315,north,0.07274688979687996
4582,central,0.01860025180260184
596,south,0.07268369621256636
940,farnorth,0.11149912149931401
3172,west,0.014680981136143825
6519,west,0.034841861976965496
3223,west,0.01447378758721956
5175,north,0.07246834491776043
839,farnorth,0.11052678994306718
1380,north,0.07041996023230374
6301,north,0.0305287322881195
344,farnorth,0.1348303585069714
3234,central,0.013326157102481685
2721,south,0.024841908604616634
778,central,0.009564892425943366
4837,south,0.08021620334521035
5822,farnorth,0.11520747270519469
3504,west,0.015437465307489205
5675,south,0.12491626651129614
857,west,0.042155350966628174
3755,farnorth,0.16064069147983237
3695,north,0.06759856707889242
2048,central,0.013556877484151776
4540,central,0.02659098462110977
1236,farnorth,0.1613615914371161
5872,west,0.09137251257964997
6179,northwest,0.12071273241373806
726,central,0.013646705064596046
2275,south,0.06711491660667464
5729,central,0.02036636460245197
3657,west,0.019867859651199245
4298,central,0.004317827129477548
5310,central,0.018578569135428814
2973,west,0.06626399063683813
1924,north,0.0664663731455179
2338,north,0.08472312448864838
275,farnorth,0.1275137968030023
2512,west,0.08469313445090056
5574,farnorth,0.141995502489051
5876,west,0.04658748938416143
2555,central,0.026422010353492988
40,west,0.03234262486440509
5988,farnorth,0.09292816515524009
4976,central,0.01060395884186143
2965,central,0.006451448761325375
1102,northwest,0.12132391289072832
329,west,0.07276341475713927
5170,north,0.06279777090884182
874,south,0.07635687929139777
599,central,0.01559459749784901
5745,north,0.09740928090854457
2289,west,0.05577689398952692
6101,west,0.024392071152728272
5268,central,0.019786859253559733
5230,north,0.07410748334088298
6311,farnorth,0.14194184611705785
5821,north,0.054530283614879924
996,north,0.09690388511880245
6002,central,0.01746825575494243
3988,central,0.01271323023940662
6052,central,0.02822634186571522
796,north,0.05782927209570505
5949,central,0.01848290494268173
123,north,0.07038300521517443
4269,north,0.049856825321309126
1893,north,0.0496820741829441
4018,south,0.0748358468056623
4503,central,0.014875225279635265
4766,central,0.010724097683254023
1331,southwest,0.1177090494359718
3792,central,0.00700524768441707
5826,north,0.09279615232927675
2498,farnorth,0.09922679669887229
5793,north,0.08582372189039116
4680,central,0.020680631303714822
4049,west,0.08203068815460413
1576,north,0.06849195800325654
3198,farnorth,0.07885764145040054
3904,west,0.06222047077224697
5486,north,0.06707521061554328
6172,southwest,0.09683175792641464
1051,north,0.05231738884080127
4113,north,0.05634815928775943
3603,south,0.08190768857146481
4714,farnorth,0.1319266331834446
2176,farnorth,0.19957493217114036
1398,west,0.05594927080060728
2752,south,0.03635961296713556
1731,west,0.02006650241371894
2080,west,0.03875808549347063
5134,west,0.05086486055343015
610,southwest,0.14537810495090972
3489,south,0.0850187853543028
22,farnorth,0.13670094624075704
6526,west,0.05378449218054026
560,west,0.03655662598106002
1475,west,0.03391309244406361
