,review1,review2,review3,id,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,price,minimum_nights,maximum_nights,has_availability,availability_90,number_of_reviews,number_of_reviews_ltm,instant_bookable,host_days,response_score,neighbourhood_farnorth,neighbourhood_farsouth,neighbourhood_farsouthwest,neighbourhood_north,neighbourhood_northwest,neighbourhood_south,neighbourhood_southwest,neighbourhood_west,dist,property_group_0,property_group_1,property_group_2,property_group_3,property_group_4,room_type_entire_home/apt,room_type_hotel_room,room_type_private_room,room_type_shared_room,crowdedness,crowdedness_diff,crowdedness_ratio,crowdedness_adj_ratio,long_term_stays_allowed,gym,patio_or_balcony,paid_parking_off_premises,coffee_maker,first_aid_kit,fire_extinguisher,private_entrance,bbq_grill,lockbox,indoor_fireplace,hangers,elevator,dishwasher,laundromat_nearby,heating,bathtub,air_conditioning,hot_water,hair_dryer,free_street_parking,oven,shower_gel,free_parking_on_premises,lock_on_bedroom_door,dryer,keypad,washer,outdoor_furniture,room-darkening_shades,baking_sheet,wine_glasses,tv,bathrooms_privacy,bathrooms
3448,-0.9197143359819773,0.23382398442760058,0.02043626793999002,39203774,0.96,1,1,9,3.0,85.0,7,1125,1,68,42,27,0,969,1,0,0,0,0,0,1,0,0,0.05478437075590512,0,1,0,0,0,1,0,0,0,1,6.0,3.0,2.0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1.5
582,-1.072027377524908,-0.2718351581596497,0.19933205621169175,9049864,1.0,0,0,14,3.0,483.0,2,1125,1,80,248,39,1,2629,1,0,0,0,0,0,0,0,1,0.05334094576513975,0,1,0,0,0,1,0,0,0,1,11.0,4.666666666666667,3.6666666666666665,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,3.0
2784,11.205124662728709,3.931274694314201,-1.7635991585121726,34302158,0.17,0,1,4,3.0,200.0,1,30,1,72,3,0,1,963,0,0,0,0,0,0,0,1,0,0.09841306002315278,0,1,0,0,0,1,0,0,0,1,1.0,1.3333333333333333,0.3333333333333333,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,2.0
4955,-1.04215222683918,-0.3560433887851121,-0.16611876635045955,48242497,0.78,1,0,3,2.0,130.0,32,180,1,16,3,3,0,317,1,0,0,0,0,0,0,0,0,0.013928521497988752,0,0,1,0,0,1,0,0,0,1,1.0,1.5,0.5,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1.0
4903,-1.6444076955693847,-0.1075528577165523,0.2165459981601159,48096009,0.84,0,1,5,2.0,62.0,4,1125,1,52,5,5,0,1073,1,0,0,0,0,0,0,1,0,0.14924162716588063,0,1,0,0,0,1,0,0,0,1,3.0,2.5,1.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0
2328,-0.22073008411679107,-0.12652451253739103,-0.1232519285767856,29217711,0.75,0,1,4,1.0,90.0,1,1125,1,70,136,14,0,1164,1,0,0,0,0,0,1,0,0,0.053681781482360046,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1.0
2696,-0.8793754582232599,-0.20666406928042627,0.7705735558463459,33310984,1.0,0,1,2,1.0,165.0,2,1125,0,0,13,0,0,1003,0,0,0,0,0,0,1,0,0,0.10818006137509795,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1.0
1550,-1.6444076955693847,-0.1075528577165523,0.2165459981601159,21678043,1.0,0,1,1,1.0,19.0,1,20,1,0,4,0,1,1525,1,0,0,0,1,0,0,0,0,0.06433546100805879,0,1,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1.0
2874,0.5468131318829272,-0.04680035754636399,0.0537443007462578,34944861,0.52,1,1,2,1.0,120.0,32,1124,1,90,0,0,0,3342,1,0,0,0,0,0,0,0,0,0.018484133929401816,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
342,-0.8730422589617463,0.013687535077748907,-0.06981731925997245,6014028,0.91,0,1,2,1.0,86.0,2,1125,1,65,264,4,0,2440,1,0,0,0,0,0,1,0,0,0.04568564701435799,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1.0
3043,-0.6452410130100013,-0.4490331577153227,-0.3612004575872226,36236409,0.93,0,1,4,1.0,109.0,1,28,1,82,24,19,1,912,1,0,0,0,0,0,0,0,0,0.0010457567212332102,0,0,1,0,0,0,0,1,0,1,3.0,4.0,3.0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
5742,-0.18034861694678128,-0.22192013041826622,0.43451953250371,50944692,0.7,1,1,2,1.0,19.0,32,1125,1,49,0,0,0,705,1,0,1,0,0,0,0,0,0,0.19611083031572285,1,0,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1.0
3039,-0.2941376983365643,-0.5915572051840313,-0.040405053569092964,36235560,0.93,0,1,2,1.0,89.0,1,28,1,69,4,1,1,912,1,0,0,0,0,0,0,0,0,0.0018670444879575413,0,0,1,0,0,0,0,1,0,1,1.0,2.0,1.0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
3641,-0.9219398928996126,-0.2319116923296319,-0.0698776225509925,40419469,0.99,0,1,3,1.0,182.0,1,1125,1,5,90,51,0,753,1,0,0,0,1,0,0,0,0,0.03687147839617915,0,1,0,0,0,1,0,0,0,1,2.0,3.0,2.0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0
1384,-1.3336514836027964,-0.01798180311804644,0.046858874859819204,20378811,0.87,1,0,7,3.0,200.0,2,1125,1,0,69,0,0,3628,1,0,0,0,1,0,0,0,0,0.06813230234711952,0,1,0,0,0,1,0,0,0,1,4.0,2.3333333333333335,1.3333333333333333,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2.0
1197,-1.443248354938836,-0.056775893939003445,0.18251031076055588,18431594,0.99,1,1,4,2.0,99.0,2,30,1,20,144,39,1,1769,1,0,0,0,1,0,0,0,0,0.07408724656187021,0,1,0,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1.0
2545,-1.076403037654826,0.46519553052884927,-0.26561021132785184,31440667,1.0,0,1,4,2.0,89.0,21,80,1,51,3,1,0,1305,1,0,0,0,0,0,0,0,1,0.06928587653425218,0,1,0,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1.0
2921,1.918476004538499,-0.25556822160462705,-0.47030729006127675,35327978,0.98,0,1,2,1.0,207.0,30,1125,1,0,0,0,1,1828,1,0,0,0,0,0,0,0,0,0.013742340671085105,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
792,-1.0481194345503446,0.14630156082833573,0.4735594094983202,13247627,0.7,1,1,2,1.0,46.0,1,90,1,90,20,3,0,2370,1,0,0,0,0,1,0,0,0,0.13345648695330437,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5
2246,-0.26090230495705186,-0.5180019981876833,0.1369707676937321,28538337,0.99,0,1,1,1.0,34.0,1,1124,1,90,488,28,1,2144,1,0,0,0,0,0,0,0,0,0.010899243557235903,0,0,1,0,0,0,1,0,0,0,0.0,1.0,0.0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1.0
3132,-0.15938929650432068,0.06724732656378195,-0.45976222503446307,37004668,0.94,1,0,4,1.0,69.0,5,120,1,68,17,9,0,1686,1,1,0,0,0,0,0,0,0,0.20180438855267405,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1.0
3715,-0.20178443301722612,-0.005795733536138779,-0.41969733739939125,40918925,0.73,0,0,3,1.0,81.0,5,5,1,90,5,3,0,732,1,0,0,0,1,0,0,0,0,0.04654606130619009,1,0,0,0,0,0,0,1,0,1,2.0,3.0,2.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,8.0
3230,-0.6173282990026651,0.48897459317125636,-0.27411610454247004,37778165,1.0,0,1,4,1.6688679245283018,400.0,30,1125,1,73,0,0,0,1854,0,0,0,0,0,0,0,0,0,0.01333834709099757,0,1,0,0,0,1,0,0,0,1,2.3311320754716984,2.3968343697003958,1.396834369700396,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0
2139,-1.0343129001951763,-0.03423006530491903,-0.13703007809853426,27694440,0.96,1,1,4,1.0,62.0,3,1125,1,2,84,24,0,1224,1,1,0,0,0,0,0,0,0,0.12540820617136278,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1.0
3974,2.9165568480619775,0.20491949049109678,0.5997803850578668,42401687,0.98,0,1,2,1.031413612565445,144.0,30,1125,1,61,2,2,1,1828,1,0,0,0,0,0,0,0,1,0.023113370137643318,0,1,0,0,0,1,0,0,0,1,0.968586387434555,1.9390862944162437,0.9390862944162438,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
